NODE_ID,PAGE_RANK
1,0.00013899667335073396
2,2.8353484335078802e-05
4098,2.833243077041759e-06
4,3.7134830906359126e-05
3,4.494542900692733e-06
6,1.3565733411861962e-05
7,4.831186180976673e-05
8,3.141577528405897e-06
9,1.4800599836310694e-06
10,5.0567297393098495e-06
4107,2.1934197113528747e-05
13,1.0004962089304397e-05
2063,1.4800599836310694e-06
4112,1.4800599836310694e-06
17,1.3565733411861962e-05
16,3.395212194535022e-06
19,1.4800599836310694e-06
2067,1.0124912587812073e-05
21,8.692544124523968e-06
2070,1.3305059000195277e-05
20,2.1868625724512483e-06
23,1.2810333119076299e-05
4121,1.4800599836310694e-06
2073,1.4800599836310694e-06
4119,2.2088614892454266e-06
2076,5.7350570224625915e-06
25,6.943756657515693e-05
29,1.7769305962723464e-06
2078,3.983845718448868e-06
2080,1.9593953849436526e-05
33,1.712654019434066e-05
2082,7.728896299535757e-06
35,3.5983226094071265e-05
2079,2.8936651612714267e-06
39,2.8497520906358577e-05
2087,1.4800599836310694e-06
41,1.4774599678241437e-05
4136,1.4800599836310694e-06
4141,1.4800599836310694e-06
45,2.8936651612714267e-06
4144,4.718793397412669e-06
51,3.195329663341595e-05
4150,1.4800599836310694e-06
57,3.3625926922530075e-05
60,1.6312345112136682e-05
61,1.4800599836310694e-06
62,4.494542900692733e-06
2110,4.644958024710784e-06
64,1.6654719111410908e-05
4163,1.4800599836310694e-06
4164,1.4800599836310694e-06
2118,5.505185134755737e-05
71,1.4800599836310694e-06
4168,1.4800599836310694e-06
4172,6.92539433305064e-05
2125,2.414096172378734e-05
2127,5.3499775615139515e-06
80,1.4800599836310694e-06
2128,1.4800599836310694e-06
81,2.893665161271426e-06
2132,1.4800599836310694e-06
4181,3.195329663341596e-05
88,1.4800599836310694e-06
93,3.141577528405897e-06
2142,1.715660846571129e-06
2144,1.4800599836310694e-06
101,2.1868625724512487e-06
4198,3.19532966334158e-05
4197,5.0140729277319615e-06
104,8.19744270402858e-06
4205,3.195329663341588e-05
2158,1.8334612780411589e-06
111,3.1953296633415866e-05
109,2.1868625724512483e-06
113,1.4800599836310694e-06
4212,1.4800599836310694e-06
2165,9.265997716785742e-06
119,5.324229515294162e-06
2167,9.405483563755368e-06
4217,2.8936651612714267e-06
4219,1.4800599836310694e-06
2173,1.7769305962723464e-06
2174,1.4800599836310694e-06
127,4.0235513870866945e-06
2176,6.816818092469362e-06
4226,1.4800599836310694e-06
132,1.4800599836310694e-06
134,1.8334612780411586e-06
135,9.556793786254576e-06
4235,3.5688168184022414e-06
2188,6.139116934160115e-06
4237,1.4800599836310694e-06
4238,4.718793397412669e-06
143,2.8658058455653823e-06
144,0.00011742202596525858
4240,1.4800599836310694e-06
149,1.4800599836310694e-06
4245,1.4800599836310694e-06
2198,4.236331001501276e-06
2200,2.804389478201517e-06
159,4.3072703389117835e-06
160,3.1187157136483648e-06
4257,5.976818145540081e-06
4261,8.68189345136177e-06
2214,3.985336126168015e-06
167,9.04938880350487e-06
4266,1.4800599836310694e-06
178,5.263754931106993e-06
2230,1.8817616589960197e-05
184,3.195329663341595e-05
4281,1.4800599836310694e-06
2240,1.4800599836310694e-06
2241,3.195329663341591e-05
192,2.893665161271427e-06
4291,3.3339982988608657e-05
197,1.3565733411861962e-05
198,4.158956264865547e-06
2246,8.525772243321226e-06
200,4.513590053769573e-05
201,2.8936651612714267e-06
202,0.00012469043877648677
4301,1.4800599836310694e-06
4304,1.4800599836310694e-06
4308,1.4800599836310694e-06
2262,2.8936651612714267e-06
215,1.4439303480920324e-05
2266,2.1868625724512483e-06
219,1.4800599836310694e-06
223,1.1212469626760635e-05
224,1.4800599836310694e-06
4320,5.324229515294154e-06
4322,1.4800599836310694e-06
230,2.001115576831445e-05
2284,2.8936651612714267e-06
